Ref_ID,Paper_ID,Location_ID,Title,Author,Year,Sampling Start,Sampling End,State,District,Location,Geo_Type,Resolution,Lat_1,Lon_1,Lat_2,Lon_2,Lat_3,Lon_3,Lat_4,Lon_4,Lat_5,Lon_5,Lat_6,Lon_6,Lat_7,Lon_7,Lat_8,Lon_8,Lat_9,Lon_9,Lat_10,Lon_10,Lat_11,Lon_11,Lat_12,Lon_12,Sources,,,,,,,,,,
91,18,22,Critical appraisal of entomological data of Madhya Pradesh for 1991 and its relevance to the National Malaria Eradication Programme.,Saxena ,1992,1991,1991,Madhya Pradesh,Various,Various,Polygon,Constructed,22.083,82.154,23.12,83.198,21.895,83.404,22.016,82.567,23.237,77.405,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
91,18,23,Critical appraisal of entomological data of Madhya Pradesh for 1991 and its relevance to the National Malaria Eradication Programme.,Saxena ,1992,1991,1991,Madhya Pradesh,Various,Various,Polygon,Constructed,23.237,77.405,23.524,77.805,21.917,77.9,23.2,77.083,22.745,77.718,24.008,76.729,23.323,77.775,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
91,18,24,Critical appraisal of entomological data of Madhya Pradesh for 1991 and its relevance to the National Malaria Eradication Programme.,Saxena ,1992,1991,1991,Madhya Pradesh,Various,Various,Polygon,Constructed,22.717,75.862,22.033,74.896,22.961,74.824,22.593,75.296,21.822,76.346,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
91,18,25,Critical appraisal of entomological data of Madhya Pradesh for 1991 and its relevance to the National Malaria Eradication Programme.,Saxena ,1992,1991,1991,Madhya Pradesh,Various,Various,Polygon,Constructed,19.085,82.033,21.187,81.283,21.238,81.64,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
96,19,26,Seasonality of indoor resting mosquitoes in a broken-forest ecosystem of north-western Orissa.,Chand,1993,1989,1990,Orissa,Sundargarh,Various,Polygon,Constructed,22.2535,84.9862,22.1064,84.8385,22.1848,84.875,22.2523,84.755,22.2781,84.7263,22.2746,84.708,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
97,20,27,"Malaria transmission in Nagaland, India. Part-I--Anophelines and their seasonality.",Misra,1993,1983,1988,Nagaland,Kohima,Dimapur PHC,Single,Wide Area,25.684,93.928,,,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
98,21,28,Anopheline fauna and malaria incidence in Changlang District (Arunachal Pradesh).,Dutta,1993,1990,1990,Arunachal Pradesh,Changland,Nampong and Monmao Circles,2_Singles,Wide Area,27.3,96.1,27.2,95.916,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
101,22,29,Role of An. culicifacies and An. stephensi in malaria transmission in urban Delhi.,Sharma,1993,1984,1986,Delhi,Delhi,Delhi,Polygon,Constructed,28.711414,77.2089,28.701052,77.220398,28.717417,77.222633,28.719622,77.226624,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
101,22,30,Role of An. culicifacies and An. stephensi in malaria transmission in urban Delhi.,Sharma,1993,1984,1986,Delhi,Delhi,Delhi,Polygon,Constructed,28.5436,77.2578,28.5615,77.1935,28.5769,77.196,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
101,22,31,Role of An. culicifacies and An. stephensi in malaria transmission in urban Delhi.,Sharma,1993,1984,1986,Delhi,Delhi,Delhi,Polygon,Constructed,28.668,77.1952,28.6101,77.1443,28.5882,77.149,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
107,23,32,Present perspectives of malaria transmission in Boko area of Assam.,Nandi,1993,1984,1988,Assam,Kamrup,Various,Polygon,Constructed,25.9074,91.2493,25.8952,91.2627,26.0109,91.2396,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Kamrup/Chayani/Rajapara,http://wikimapia.org/20693365/Amrengkona-garo-gaon-adopted-by-Freemason,https://villageinfo.in/assam/kamrup/boko/bakara-para.html,,,,,,,,
109,24,33,Prevalence and seasonal distribution of anopheline fauna in district Bikaner (Rajasthan).,Bansal,1993,1989,1991,Rajasthan,Bikaner,Various,Polygon,Constructed,28.2975,73.2824,28.1318,73.3178,28.2147,73.5597,27.85,72.7167,28.0464,73.0803,27.8856,72.9873,28.378,73.889,28.496,73.7458,27.6683,73.337,27.5715,73.577,27.6375,73.8218,,,https://www.mapsofindia.com/villages/rajasthan/bikaner/bikaner/dholera-no.1.html,https://villageinfo.in/rajasthan/bikaner/bikaner/kalasar.html,"https://www.google.co.uk/maps/place/Katriyasar,+Rajasthan+334602,+India/@28.2147721,73.5597962,14z/data=!4m5!3m4!1s0x391564a913348b27:0xd3f7a678b26ee5d5!8m2!3d28.2174729!4d73.5638298",http://www.onefivenine.com/india/villages/Bikaner/Kolayat/Bithnok,http://www.onefivenine.com/india/villages/Bikaner/Kolayat/Kodam-Desar,http://www.onefivenine.com/india/villages/Bikaner/Kolayat/Inda-Ka-Bala,http://www.onefivenine.com/india/villages/Bikaner/Lunkaransar/Kaloo,http://www.onefivenine.com/india/villages/Bikaner/Lunkaransar/Lunkaransar,http://www.onefivenine.com/india/villages/Bikaner/Nokha/Desalsar,http://www.onefivenine.com/india/villages/Bikaner/Nokha/Maiyasar,http://www.onefivenine.com/india/villages/Bikaner/Nokha/Gajsukhdesar
112,25,34,"Lambdacyhalothrin trated bed nets as an alternative method of malaria control in tribal villages of koraput district, Orissa State, India",Das,1993,1989,1991,Orissa,Koraput,"Bandhaguda, Simagudi & Champakhari villages",Single,Wide Area,18.4179,81.9696,,,,,,,,,,,,,,,,,,,,,,,https://villageinfo.in/odisha/malkangiri/malkangiri/bandhaguda.html,,,,,,,,,,
117,26,35,"Field trial of esbiothrin-impregnated rope in Ramgarh village, Dadri PHC, District Ghaziabad (U.P.).",Ansari,1994,1990,1991,Uttar Pradesh,Ghaziabad ,Ramgarh village,Single,Point,28.582,77.574,,,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
124,27,36,"Observations on nocturnal activity and man biting habits of malaria vectors, Anopheles fluviatilis, An. annularis and An. culicifacies in the hill tracts of Koraput District, Orissa, India.",Gunasekaran,1994,1988,1990,Orissa,Koraput,Champapodar,Single,Point,18.7709,82.8379,,,,,,,,,,,,,,,,,,,,,,,Google Maps with Village Names,,,,,,,,,,
124,27,37,"Observations on nocturnal activity and man biting habits of malaria vectors, Anopheles fluviatilis, An. annularis and An. culicifacies in the hill tracts of Koraput District, Orissa, India.",Gunasekaran,1994,1988,1990,Orissa,Koraput,Deulaguda,Single,Point,18.9911,82.5814,,,,,,,,,,,,,,,,,,,,,,,"Geonames with village names, #1 results taken",,,,,,,,,,
